at: 2020-03-30 18:42:59.582880 | Connected to manager
at: 2020-03-30 18:43:04.108017 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:43:11.514534 | back was pressed while in: choosing_live_camera
at: 2020-03-30 18:43:12.419823 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:43:13.240621 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:43:42.268660 | Connected to manager
at: 2020-03-30 18:43:49.432059 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:43:49.959004 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:44:41.841784 | Connected to manager
at: 2020-03-30 18:44:47.788001 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:44:49.159296 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:46:03.813267 | Connected to manager
at: 2020-03-30 18:46:08.840858 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:46:11.430500 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:49:29.258060 | Connected to manager
at: 2020-03-30 18:49:37.825605 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:49:39.131477 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:51:17.796694 | Connected to manager
at: 2020-03-30 18:51:23.031634 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:51:23.794414 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:51:28.696695 | Back was pressed while in: live_video
at: 2020-03-30 18:51:29.412601 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:59:29.389924 | Connected to manager
at: 2020-03-30 18:59:33.684029 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:59:38.090453 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:59:59.975353 | Back was pressed while in: mid_video_camera_dc
at: 2020-03-30 19:00:07.825746 | Refresh was pressed while in: choose_live_camera
at: 2020-03-30 19:00:08.415577 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 19:02:11.429185 | Connected to manager
at: 2020-03-30 19:02:15.186999 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 19:02:19.658541 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 19:02:32.410455 | Back was pressed while in: live_video
at: 2020-03-30 19:02:37.904359 | Refresh was pressed while in: choose_live_camera
at: 2020-03-30 19:02:38.626083 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 19:05:40.817671 | Connected to manager
at: 2020-03-30 19:05:51.538114 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 19:05:52.092353 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 19:06:10.874290 | Back was pressed while in: live_video
at: 2020-03-30 19:06:28.038469 | back was pressed while in: choosing_live_camera
at: 2020-03-30 19:06:28.797590 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 19:07:57.885849 | Connected to manager
at: 2020-03-30 19:08:02.266013 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 19:08:06.141963 | Camera with name of: Desktop, Was chosen to watch live video
